90 200
1 0 1.2
3 0 1.35
1 0 1.5
3 0 1.65
1 0 1.8
3 0 1.95
1 0 2.1
3 0 2.25
2 0 2.4
4 0 2.55
2 0 2.7
4 0 2.85
2 0 3
4 0 3.15
2 0 3.3
4 0 3.45
1 0 3.6
3 0 3.6

1 0 6.15
2 0 6.3
1 0 6.45
2 0 6.6
3 0 6.75
2 0 6.9
1 0 7.05
4 1 7.2
3 1 7.2
4 2 7.5
3 2 7.5
1 0 7.5
4 1 7.65
2 1 7.65
4 2 7.95
2 2 7.95
3 0 7.95
1 1 8.1
2 1 8.1
1 2 8.4
2 2 8.4
4 0 8.4
3 0 8.475
2 0 8.55
1 0 8.625
4 1 8.7
2 0 8.7
4 2 8.85
1 0 8.85
2 0 8.925
3 0 9
4 0 9.075
1 1 9.15
3 0 9.15
1 2 9.45
4 0 9.45
3 0 9.525
2 0 9.6
1 0 9.675
2 0 9.75

4 1 10.8
4 2 11.1
3 1 11.1
2 1 11.1
3 2 11.4
2 2 11.4
4 0 11.4
3 1 11.55
1 1 11.55
3 2 11.85
1 2 11.85
4 0 11.85
2 1 12
1 1 12
2 2 12.3
1 2 12.3
3 0 12.3
4 1 12.45
4 2 12.9
4 1 13.05
3 1 13.2
4 2 13.5
3 2 13.5
1 1 13.65
2 1 13.8
1 2 14.1
2 2 14.1
3 1 14.25
4 1 14.4
2 1 14.7
1 1 14.85
4 2 15.3
3 2 15.3
2 2 15.3
1 2 15.3

4 0 15.75
3 0 15.825
4 1 15.9
4 2 16.05
1 0 16.35
2 0 16.425
1 1 16.5
1 2 16.65
4 0 16.95
2 0 17.025
4 1 17.1
4 2 17.25
3 0 17.55
1 0 17.625
3 1 17.7
3 2 17.85
1 0 18.15
4 0 18.225
1 1 18.3
1 2 18.45
2 0 18.75
3 0 18.825
2 1 18.9
2 2 19.05
3 0 19.35
4 0 19.425
3 1 19.5
3 2 19.65
2 0 19.95
1 0 20.025
2 1 20.1
2 2 20.25

1 1 20.55
2 1 20.625
3 1 20.7
4 1 20.85
4 2 21.15
3 2 21.225
2 2 21.3
1 2 21.45
2 1 21.75
3 1 21.825
1 1 21.9
4 1 22.05
3 2 22.35
2 2 22.425
4 2 22.5
1 2 22.65
1 1 22.95
3 1 23.025
2 1 23.1
4 1 23.25
3 2 23.55
1 2 23.625
4 2 23.7
2 2 23.85
4 1 24.15
3 1 24.225
1 1 24.3
2 1 24.45
