90 200
1 1 1.2
1 2 2.4
2 1 2.4
2 2 3.3
3 0 3.3
4 0 3.6

1 0 6.3
4 0 6.9
2 0 7.5
3 0 8.1
1 0 8.7
4 0 9.3
2 0 11.1
3 0 11.7
1 0 12.3
4 0 12.9
2 0 13.5
3 0 14.1

4 1 15.9
3 1 16.05
3 2 16.5
4 2 16.5
1 1 17.1
2 1 17.25
2 2 17.7
1 2 17.7
3 1 18.3
4 1 18.45
3 2 18.9
4 2 18.9
2 0 19.5
1 0 19.65
4 0 20.1
3 0 20.2
2 0 20.3

1 1 20.4
1 2 21.3
4 0 21.3
3 1 21.6
3 2 22.2
1 1 22.2
1 2 22.8
2 0 22.8
2 0 23.1
4 0 23.4
2 0 23.7
1 0 24
2 0 24.3
3 0 24.6
4 0 24.9
2 1 25.5
1 1 25.65
2 2 26.1
1 2 26.1
3 1 26.7
4 1 26.85
3 2 27.3
4 2 27.3
1 1 27.9
2 1 28.05
2 2 28.5
1 2 28.5
4 1 29.1
3 1 29.25
3 2 29.7
4 2 29.7
2 0 30
1 0 30.3
2 0 30.6
1 0 30.9
2 0 31.2
1 0 31.5
3 0 31.8
4 0 32.1

2 1 42
3 0 42
2 2 43.5
1 0 43.5
2 0 43.8
4 0 44.1
3 0 44.4
2 1 44.4
2 2 45.9
1 0 45.9
2 0 46.2
3 0 46.5
2 0 46.8
4 1 46.8
4 2 48.6
2 1 48.6
2 2 49.2
1 1 49.2
1 2 49.8
2 1 49.8
2 2 50.4
3 1 50.4
3 2 51
4 1 51
4 2 51.6

3 0 51.6
1 0 51.9
3 0 52.2
1 0 52.5
4 0 52.8
2 0 53.1
4 0 53.4
2 0 53.7
1 0 54
3 0 54.3
1 0 54.6
3 0 54.9
2 0 55.2
4 0 55.5
2 0 55.8
4 0 56.1
2 0 56.4
3 0 56.7
2 0 57
3 0 57.3
1 0 57.6
4 0 57.9
1 0 58.2
4 0 58.5
3 0 58.8
2 0 59.1
4 0 59.4
1 0 59.7
3 0 60
2 0 60.3
3 0 60.6
1 0 60.9

1 1 61.5
2 1 61.65
1 2 62.1
2 2 62.1
1 1 62.7
2 1 62.85
1 2 63.3
2 2 63.3
4 1 63.9
3 1 64.05
4 2 64.5
3 2 64.5
