88 120
2 1 7.5
2 2 7.75
3 1 8
3 2 9.5
1 0 10
1 0 10.75
2 0 10.875
4 0 11
3 0 11.25
1 0 11.5
2 0 16
3 0 18
2 0 18.667
3 0 18.833
4 0 19
1 0 19.167
4 0 19.333
2 0 19.5
3 0 19.667
1 0 19.833

4 1 20
3 1 20
4 2 21.5
3 2 21.5
1 1 22
3 1 22
1 2 23.5
3 2 23.5
1 1 24
2 1 24
1 2 25.5
2 2 25.5
2 1 26
3 1 26
2 2 27.5
3 2 27.5
1 1 28
2 1 28
1 2 29.5
2 2 29.5
4 1 30
2 1 30
4 2 31.5
2 2 31.5
3 1 32
4 1 32
3 2 33.5
4 2 33.5
3 1 34
2 1 34
3 2 35.5
2 2 35.5

4 1 36
4 2 37
3 0 37.5
4 0 37.75
3 0 38
1 0 38.5
3 0 39
1 0 39.5
2 0 40
1 0 40.25
2 0 40.5
3 0 40.75
4 0 41
3 0 41.25
4 0 41.5
1 0 41.75
2 0 42
4 0 43
3 0 43.25
2 0 43.5
1 0 43.75
4 0 44
2 0 44.5
1 0 45
4 0 45.5
1 0 46
3 0 46.5
4 0 47
1 0 47.5
4 0 48
2 0 48.5
1 0 49
4 0 49.5
1 0 50

1 0 59
3 0 59.5
2 0 60
4 0 60
4 0 61
2 0 61.5
1 0 61.75
3 0 61.875
2 0 62
4 0 62
3 0 62.5
2 0 63
3 0 63.5
1 0 63.5
2 0 63.75
4 0 64
3 0 64
3 0 64.5
1 0 64.75
2 0 65
3 0 65
2 0 65.25
1 0 65.5
4 0 65.5
2 0 65.75
3 0 66
1 0 66
2 0 66.5
3 0 67
4 0 67
1 0 67.25
2 0 67.5
3 0 67.75
4 0 68
2 1 68
1 0 69
4 0 69.25
3 0 69.5
1 0 69.75
3 0 70
2 2 70
4 1 70
1 0 71
2 0 71.5
1 0 71.75
2 0 71.875
3 0 72
4 2 72
1 1 72
1 2 73
1 0 73.5
4 0 73.5
3 0 73.75
2 0 74
2 0 75
3 0 75
4 0 75.5
1 0 76
2 0 76.1
3 0 76.195
4 0 76.32
-----
5 0 4 1.2 1.2
5 0 4.5 1.6 1.6
5 0 5 1.8 1.8
5 0 5.5 1.4 1.4
6 0 6 1.2 1.2
6 0 6.5 1.6 1.6
6 0 7 1.8 1.8
6 0 7.5 1.4 1.4
5 0 8 1.2 1.2
5 0 8.5 1.6 1.6
5 0 9 1.8 1.8
5 0 9.5 1.4 1.4
6 0 10 1.2 1.2
6 0 10.5 1.6 1.6
6 0 11 1.8 1.8
6 0 11.5 1.4 1.4

6 0 12 1.6 1.6
5 0 12 1.2 1.2
6 0 12.5 1.4 1.4
5 0 12.5 1.6 1.6
6 0 13 1.2 1.2
5 0 13 1.8 1.8
6 0 13.5 1.8 1.8
5 0 13.5 1.4 1.4
6 0 14 1.2 1.2
5 0 14 1.4 1.4
5 0 14.5 1.8 1.8
6 0 15 1.2 1.2
5 0 15 2.0 2.0
5 0 15.5 1.8 1.8
5 0 16 1.2 1.2
5 0 16.5 1.6 1.6
5 0 17 1.8 1.8
5 0 17.5 1.4 1.4
6 0 18 1.2 1.2
6 0 18.5 1.6 1.6
6 0 19 1.8 1.8
6 0 19.5 1.4 1.4

6 0 20 1.6 1.6
6 0 21 1.6 1.6
5 0 22 1.2 1.2
5 0 23 1.2 1.2
6 0 24 1.6 1.6
6 0 24.5 1.4 1.4
6 0 25 1.2 1.2
6 0 25.5 1.8 1.8
5 0 26 1.0 1.0
5 0 27 1.0 1.0
5 0 28 1.4 1.4
5 0 29 1.4 1.4
6 0 30 1.2 1.2
6 0 31 1.2 1.2
5 0 32 1.6 1.6
5 0 32.5 1.4 1.4
5 0 33 1.2 1.2
5 0 33.5 1.8 1.8
6 0 34 2.0 2.0
6 0 35 2.0 2.0
6 0 36 1.6 1.6
6 0 37 1.6 1.6
5 0 38 1.2 1.2
5 0 39 1.2 1.2
6 0 40 1.6 1.6
6 0 40.5 1.4 1.4
6 0 41 1.2 1.2
6 0 41.5 1.8 1.8
5 0 42 1.0 1.0
5 0 43 1.0 1.0
5 0 44 1.4 1.4
5 0 45 1.4 1.4
6 0 46 1.2 1.2
6 0 47 1.2 1.2
5 0 48 1.6 1.6
5 0 48.5 1.4 1.4
5 0 49 1.2 1.2
5 0 49.5 1.8 1.8
6 0 50 2.0 2.0

5 0 52 1.2 1.2
5 0 52.5 1.6 1.6
5 0 53 1.8 1.8
5 0 53.5 1.4 1.4
6 0 54 1.2 1.2
6 0 54.5 1.6 1.6
6 0 55 1.8 1.8
6 0 55.5 1.4 1.4
5 0 56 1.2 1.2
5 0 56.5 1.6 1.6
5 0 57 1.8 1.8
5 0 57.5 1.4 1.4
6 0 58 1.2 1.2
6 0 58.5 1.6 1.6
6 0 59 1.8 1.8
6 0 59.5 2.0 2.0

5 0 60 1.0 1.0
5 0 61 1.4 1.4
6 0 62 1.2 1.2
6 0 63 1.6 1.6
5 0 64 1.4 1.8
5 0 65 1.8 1.8
6 0 66 1.2 1.2
6 0 67 1.6 1.6
5 0 68 1.2 1.2
5 0 69 1.6 1.6
6 0 70 1.2 1.2
6 0 71 1.6 1.6
5 0 72 1.6 1.6
5 0 73 1.2 1.2
6 0 74 1.4 1.4

5 0 76 1.2 1.2
5 0 76.5 1.6 1.6
5 0 77 1.8 1.8
5 0 77.5 1.4 1.4
6 0 78 1.2 1.2
6 0 78.5 1.6 1.6
6 0 79 1.8 1.8
6 0 79.5 1.4 1.4
5 0 80 1.2 1.2
5 0 80.5 1.6 1.6
5 0 81 1.8 1.8
5 0 81.5 1.4 1.4
6 0 82 1.2 1.2
6 0 82.5 1.6 1.6
6 0 83 1.8 1.8
6 0 83.5 1.4 1.4
6 0 83.75 1.4 1.8
EOF
